uniprot_ID	reviewed	uniprot_name	protein	gene_name_long	organism	refseq	length	locus_tag	pathway	go_ids	go_bp	localization
O34757	reviewed	DESK_BACSU	Sensor histidine kinase DesK (EC 2.7.13.3)	desK yocF BSU19190	Bacillus subtilis 168	NP_389800.1; NC_000964.3.;WP_003231271.1; NZ_JNCM01000036.1.;	370	BSU19190	NA	GO:0000155; GO:0004672; GO:0004721; GO:0005524; GO:0005886; GO:0042802; GO:0046983	NA	inner membrane
O34790	reviewed	PCRB_BACSU	Heptaprenylglyceryl phosphate synthase (HepGP synthase) (EC 2.5.1.n9) (Glycerol-1-phosphate heptaprenyltransferase)	pcrB yerE BSU06600	Bacillus subtilis 168	NP_388542.1; NC_000964.3.;WP_003233922.1; NZ_JNCM01000032.1.;	228	BSU06600	PATHWAY: Membrane lipid metabolism; glycerophospholipid metabolism. {ECO:0000255|HAMAP-Rule:MF_00112, ECO:0000269|PubMed:21761520}.	GO:0000287; GO:0002094; GO:0046474	glycerophospholipid biosynthetic process [GO:0046474]	unknown
O34800	reviewed	SP2SB_BACSU	Stage II sporulation protein SB (Antidote protein SpoIISB) (Antitoxin SpoIISB)	spoIISB BSU12820	Bacillus subtilis 168	NP_389165.1; NC_000964.3.;WP_003232646.1; NZ_JNCM01000035.1.;	56	BSU12820	NA	GO:0030435; GO:0097351	sporulation resulting in formation of a cellular spore [GO:0030435]	unknown
O34814	reviewed	FTSE_BACSU	Cell division ATP-binding protein FtsE	ftsE BSU35260	Bacillus subtilis 168	NP_391406.1; NC_000964.3.;WP_003228039.1; NZ_JNCM01000033.1.;	228	BSU35260	NA	GO:0005524; GO:0005886; GO:0008356; GO:0016887; GO:0022857; GO:0045881; GO:0055085; GO:0070297; GO:0090529	asymmetric cell division [GO:0008356]; cell septum assembly [GO:0090529]; positive regulation of sporulation resulting in formation of a cellular spore [GO:0045881]; regulation of phosphorelay signal transduction system [GO:0070297]; transmembrane transport [GO:0055085]	inner membrane
O34816	reviewed	YKUD_BACSU	Putative L,D-transpeptidase YkuD (EC 2.-.-.-) (Spore protein YkuD)	ykuD BSU14040	Bacillus subtilis 168	NP_389287.1; NC_000964.3.;WP_010886500.1; NZ_JNCM01000035.1.;	164	BSU14040	PATHWAY: Cell wall biogenesis; peptidoglycan biosynthesis.	GO:0005576; GO:0008360; GO:0016757; GO:0018104; GO:0030435; GO:0031160; GO:0071555; GO:0071972	cell wall organization [GO:0071555]; peptidoglycan-protein cross-linking [GO:0018104]; regulation of cell shape [GO:0008360]; sporulation resulting in formation of a cellular spore [GO:0030435]	unknown
O34824	reviewed	GLMM_BACSU	Phosphoglucosamine mutase (EC 5.4.2.10)	glmM ybbT BSU01770	Bacillus subtilis 168	NP_388058.1; NC_000964.3.;WP_003234946.1; NZ_JNCM01000030.1.;	448	BSU01770	NA	GO:0000287; GO:0004615; GO:0005829; GO:0005975; GO:0006048; GO:0008966; GO:0009252	carbohydrate metabolic process [GO:0005975]; peptidoglycan biosynthetic process [GO:0009252]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]	unknown
O34847	reviewed	ACCA_BACSU	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 2.1.3.15)	accA BSU29200	Bacillus subtilis 168	NP_390798.1; NC_000964.3.;WP_003229417.1; NZ_JNCM01000036.1.;	325	BSU29200	PATHWAY: Lipid metabolism; malonyl-CoA biosynthesis; malonyl-CoA from acetyl-CoA: step 1/1. {ECO:0000255|HAMAP-Rule:MF_00823}.	GO:0003989; GO:0005524; GO:0006633; GO:0009317; GO:0016743; GO:0046677; GO:2001295	fatty acid biosynthetic process [GO:0006633]; malonyl-CoA biosynthetic process [GO:2001295]; response to antibiotic [GO:0046677]	cytoplasm
O34853	reviewed	SP2SA_BACSU	Stage II sporulation protein SA (Killer protein SpoIISA) (Toxin SpoIISA)	spoIISA ykaC BSU12830	Bacillus subtilis 168	NP_389166.1; NC_000964.3.;WP_003244695.1; NZ_JNCM01000035.1.;	248	BSU12830	NA	GO:0005886; GO:0030435	sporulation resulting in formation of a cellular spore [GO:0030435]	inner membrane
O34885	reviewed	YDIS_BACSU	Type II restriction enzyme BsuMI component YdiS (R.BsuM) (R.BsuMI) (EC 3.1.21.4) (Endonuclease BsuMI component YdiS) (Type-2 restriction enzyme BsuMI component YdiS)	ydiS BSU06100	Bacillus subtilis 168	NP_388491.1; NC_000964.3.;WP_003234052.1; NZ_JNCM01000032.1.;	343	BSU06100	NA	GO:0005524; GO:0009036; GO:0009307; GO:0016887	DNA restriction-modification system [GO:0009307]	unknown
O34894	reviewed	EZRA_BACSU	Septation ring formation regulator EzrA	ezrA ytwP BSU29610	Bacillus subtilis 168	NP_390839.1; NC_000964.3.;WP_003229320.1; NZ_JNCM01000036.1.;	562	BSU29610	NA	GO:0000917; GO:0000921; GO:0005886; GO:0005940; GO:0045121; GO:0051781	division septum assembly [GO:0000917]; positive regulation of cell division [GO:0051781]; septin ring assembly [GO:0000921]	inner membrane
O34946	reviewed	ZNUC_BACSU	High-affinity zinc uptake system ATP-binding protein ZnuC (EC 7.2.2.20)	znuC adcC ycdI BSU02860	Bacillus subtilis 168	NP_388168.1; NC_000964.3.;WP_003234730.1; NZ_JNCM01000030.1.;	231	BSU02860	NA	GO:0005524; GO:0015633; GO:0016887; GO:0042626; GO:0043190	NA	inner membrane
O34952	reviewed	LTAS2_BACSU	Lipoteichoic acid synthase 2 [Cleaved into: Glycerol phosphate lipoteichoic acid synthase 2 (LTA synthase 1) (EC 2.7.8.-) (Polyglycerol phosphate synthase 2); Processed glycerol phosphate lipoteichoic acid synthase 2]	ltaS2 yflE BSU07710	Bacillus subtilis 168	NP_388652.1; NC_000964.3.;WP_003233694.1; NZ_JNCM01000032.1.;	649	BSU07710	PATHWAY: Cell wall biogenesis; lipoteichoic acid biosynthesis.	GO:0005576; GO:0005886; GO:0016740; GO:0046872; GO:0070395; GO:0071555	cell wall organization [GO:0071555]; lipoteichoic acid biosynthetic process [GO:0070395]	inner membrane
O34966	reviewed	ZNUA_BACSU	High-affinity zinc uptake system protein ZnuA	znuA adcA ycdH BSU02850	Bacillus subtilis 168	NP_388167.1; NC_000964.3.;WP_003234733.1; NZ_JNCM01000030.1.;	319	BSU02850	NA	GO:0005886; GO:0006829; GO:0007155; GO:0045121; GO:0046872	cell adhesion [GO:0007155]; zinc ion transport [GO:0006829]	inner membrane
O34974	reviewed	CMOJ_BACSU	N-acetyl-S-alkylcysteine sulfoxide monooxygenase (EC 1.14.14.-) (N-acetyl-S-alkylcysteine sulfoxide lyase)	cmoJ moxC ytnJ BSU29310	Bacillus subtilis 168	NP_390809.1; NC_000964.3.;WP_004398733.1; NZ_JNCM01000036.1.;	442	BSU29310	PATHWAY: Amino-acid metabolism. {ECO:0000305|PubMed:35584544}.	GO:0004497; GO:0016705	NA	unknown
O34992	reviewed	OPUCA_BACSU	Glycine betaine/carnitine/choline transport ATP-binding protein OpuCA	opuCA yvbE BSU33830	Bacillus subtilis 168	NP_391263.1; NC_000964.3.;WP_003243370.1; NZ_JNCM01000033.1.;	380	BSU33830	NA	GO:0005524; GO:0006865; GO:0016020; GO:0016887; GO:0031460	amino acid transport [GO:0006865]; glycine betaine transport [GO:0031460]	unknown
O35016	reviewed	YFKJ_BACSU	Low molecular weight protein-tyrosine-phosphatase YfkJ (LMPTP) (EC 3.1.3.48)	yfkJ BSU07880	Bacillus subtilis 168	NP_388669.1; NC_000964.3.;WP_003243480.1; NZ_JNCM01000032.1.;	156	BSU07880	NA	GO:0004725	NA	unknown
O35022	reviewed	AZOR1_BACSU	FMN-dependent NADH:quinone oxidoreductase 1 (EC 1.6.5.-) (Azo-dye reductase 1) (FMN-dependent NADH-azo compound oxidoreductase 1) (FMN-dependent NADH-azoreductase 1) (EC 1.7.1.17)	azoR1 yocJ BSU19230	Bacillus subtilis 168	NP_389804.1; NC_000964.3.;WP_003231260.1; NZ_JNCM01000036.1.;	208	BSU19230	NA	GO:0009055; GO:0009636; GO:0010181; GO:0016652; GO:0016655; GO:0019439	aromatic compound catabolic process [GO:0019439]; response to toxic substance [GO:0009636]	unknown
O35033	reviewed	COABC_BACSU	Coenzyme A biosynthesis bifunctional protein CoaBC (DNA/pantothenate metabolism flavoprotein) (Phosphopantothenoylcysteine synthetase/decarboxylase) (PPCS-PPCDC) [Includes: Phosphopantothenoylcysteine decarboxylase (PPC decarboxylase) (PPC-DC) (EC 4.1.1.36) (CoaC); Phosphopantothenate--cysteine ligase (EC 6.3.2.5) (CoaB) (Phosphopantothenoylcysteine synthetase) (PPC synthetase) (PPC-S)]	coaBC yloI BSU15700	Bacillus subtilis 168	NP_389452.1; NC_000964.3.;WP_009967219.1; NZ_JNCM01000035.1.;	406	BSU15700	PATHWAY: Cofactor biosynthesis; coenzyme A biosynthesis; CoA from (R)-pantothenate: step 2/5. {ECO:0000255|HAMAP-Rule:MF_02225}.; PATHWAY: Cofactor biosynthesis; coenzyme A biosynthesis; CoA from (R)-pantothenate: step 3/5. {ECO:0000255|HAMAP-Rule:MF_02225}.	GO:0004632; GO:0004633; GO:0010181; GO:0015937; GO:0015941; GO:0046872; GO:0071513	coenzyme A biosynthetic process [GO:0015937]; pantothenate catabolic process [GO:0015941]	unknown
P00691	reviewed	AMY_BACSU	Alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	amyE amyA BSU03040	Bacillus subtilis 168	NP_388186.2; NC_000964.3.;WP_003234692.1; NZ_JNCM01000030.1.;	659	BSU03040	NA	GO:0004556; GO:0005615; GO:0005975; GO:0046872	carbohydrate metabolic process [GO:0005975]	secreted
P02394	reviewed	RL7_BACSU	Large ribosomal subunit protein bL12 (50S ribosomal protein L7/L12) (BL9) (Vegetative protein 341) (VEG341)	rplL BSU01050	Bacillus subtilis 168	NP_387986.1; NC_000964.3.;WP_003156436.1; NZ_JNCM01000029.1.;	123	BSU01050	NA	GO:0003729; GO:0003735; GO:0006412; GO:0022625	translation [GO:0006412]	unknown
P04957	reviewed	GUB_BACSU	Beta-glucanase (EC 3.2.1.73) (1,3-1,4-beta-D-glucan 4-glucanohydrolase) (Endo-beta-1,3-1,4 glucanase) (Lichenase)	bglS bgl licS BSU39070 N15B	Bacillus subtilis 168	NP_391786.1; NC_000964.3.;WP_003244531.1; NZ_JNCM01000034.1.;	242	BSU39070	NA	GO:0005576; GO:0005975; GO:0042972	carbohydrate metabolic process [GO:0005975]	secreted
P05645	reviewed	LEU3_BACSU	3-isopropylmalate dehydrogenase (EC 1.1.1.85) (3-IPM-DH) (Beta-IPM dehydrogenase) (IMDH)	leuB leuC BSU28270	Bacillus subtilis 168	NP_390705.2; NC_000964.3.;WP_004399139.1; NZ_JNCM01000036.1.;	365	BSU28270	PATHWAY: Amino-acid biosynthesis; L-leucine biosynthesis; L-leucine from 3-methyl-2-oxobutanoate: step 3/4.	GO:0000287; GO:0003862; GO:0005829; GO:0008652; GO:0009098; GO:0051287	amino acid biosynthetic process [GO:0008652]; leucine biosynthetic process [GO:0009098]	cytoplasm
P05648	reviewed	DNAA_BACSU	Chromosomal replication initiator protein DnaA	dnaA dnaH BSU00010	Bacillus subtilis 168	NP_387882.1; NC_000964.3.;WP_003242674.1; NZ_JNCM01000034.1.;	446	BSU00010	NA	GO:0003688; GO:0005524; GO:0005737; GO:0005886; GO:0006260; GO:0006270; GO:0006275; GO:0016887; GO:0042802; GO:1990101	DNA replication [GO:0006260]; DNA replication initiation [GO:0006270]; regulation of DNA replication [GO:0006275]	cytoplasm
P05651	reviewed	RECF_BACSU	DNA replication and repair protein RecF	recF BSU00040	Bacillus subtilis 168	NP_387885.1; NC_000964.3.;WP_003243515.1; NZ_JNCM01000034.1.;	370	BSU00040	NA	GO:0000731; GO:0003697; GO:0005524; GO:0005737; GO:0006260; GO:0006302; GO:0009432; GO:0043590	DNA replication [GO:0006260]; DNA synthesis involved in DNA repair [GO:0000731]; double-strand break repair [GO:0006302]; SOS response [GO:0009432]	cytoplasm
P06222	reviewed	RPSE_BACSU	RNA polymerase sigma-E factor (P31) (Sigma-29) (Stage II sporulation protein GB)	sigE spoIIGB BSU15320	Bacillus subtilis 168	NP_389415.2; NC_000964.3.;WP_003221446.1; NZ_JNCM01000035.1.;	239	BSU15320	NA	GO:0003677; GO:0006352; GO:0016987; GO:0030435	DNA-templated transcription initiation [GO:0006352]; sporulation resulting in formation of a cellular spore [GO:0030435]	unknown
P06533	reviewed	SINR_BACSU	HTH-type transcriptional regulator SinR	sinR flaD sin BSU24610	Bacillus subtilis 168	NP_390341.1; NC_000964.3.;WP_003226345.1; NZ_JNCM01000036.1.;	111	BSU24610	NA	GO:0003677; GO:0003700; GO:0005829; GO:0006355; GO:0010629; GO:0030435; GO:0045892; GO:0046983	negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of gene expression [GO:0010629]; regulation of DNA-templated transcription [GO:0006355]; sporulation resulting in formation of a cellular spore [GO:0030435]	unknown
P06535	reviewed	SP0B_BACSU	Sporulation initiation phosphotransferase B (EC 2.7.-.-) (Stage 0 sporulation protein B) (Stage 0 sporulation protein D)	spo0B spo0D BSU27930	Bacillus subtilis 168	NP_390671.1; NC_000964.3.;WP_004399131.1; NZ_JNCM01000036.1.;	192	BSU27930	NA	GO:0000155; GO:0005737; GO:0030435	sporulation resulting in formation of a cellular spore [GO:0030435]	cytoplasm
P06628	reviewed	SP0F_BACSU	Sporulation initiation phosphotransferase F (EC 2.7.-.-) (Stage 0 sporulation protein F)	spo0F BSU37130	Bacillus subtilis 168	NP_391594.1; NC_000964.3.;WP_003227621.1; NZ_JNCM01000034.1.;	124	BSU37130	NA	GO:0000160; GO:0005737; GO:0016301; GO:0016310; GO:0030435; GO:0046872	phosphorelay signal transduction system [GO:0000160]; phosphorylation [GO:0016310]; sporulation resulting in formation of a cellular spore [GO:0030435]	cytoplasm
P07908	reviewed	DNAB_BACSU	Replication initiation and membrane attachment protein	dnaB BSU28990	Bacillus subtilis 168	NP_390777.1; NC_000964.3.;WP_003229464.1; NZ_JNCM01000036.1.;	472	BSU28990	NA	GO:0003677; GO:0005524; GO:0006260; GO:0006269; GO:1990077	DNA replication [GO:0006260]; DNA replication, synthesis of RNA primer [GO:0006269]	unknown
P08065	reviewed	SDHA_BACSU	Succinate dehydrogenase flavoprotein subunit (EC 1.3.5.1)	sdhA citF BSU28440	Bacillus subtilis 168	NP_390722.2; NC_000964.3.;WP_003229567.1; NZ_JNCM01000036.1.;	586	BSU28440	PATHWAY: Carbohydrate metabolism; tricarboxylic acid cycle; fumarate from succinate (bacterial route): step 1/1. {ECO:0000250|UniProtKB:P0AC41}.	GO:0000104; GO:0005886; GO:0006099; GO:0008177; GO:0009055; GO:0009061; GO:0045121; GO:0050660	anaerobic respiration [GO:0009061]; tricarboxylic acid cycle [GO:0006099]	inner membrane
P08066	reviewed	SDHB_BACSU	Succinate dehydrogenase iron-sulfur subunit (EC 1.3.5.1)	sdhB BSU28430	Bacillus subtilis 168	NP_390721.1; NC_000964.3.;WP_003229569.1; NZ_JNCM01000036.1.;	253	BSU28430	PATHWAY: Carbohydrate metabolism; tricarboxylic acid cycle; fumarate from succinate (bacterial route): step 1/1.	GO:0005886; GO:0006099; GO:0008177; GO:0009055; GO:0009060; GO:0022904; GO:0046872; GO:0051537; GO:0051538; GO:0051539	aerobic respiration [GO:0009060]; respiratory electron transport chain [GO:0022904]; tricarboxylic acid cycle [GO:0006099]	unknown
P08838	reviewed	PT1_BACSU	Phosphoenolpyruvate-protein phosphotransferase (EC 2.7.3.9) (Phosphotransferase system, enzyme I)	ptsI BSU13910	Bacillus subtilis 168	NP_389274.2; NC_000964.3.;WP_003218638.1; NZ_JNCM01000035.1.;	570	BSU13910	NA	GO:0005737; GO:0008965; GO:0009401; GO:0016301; GO:0016310; GO:0045121; GO:0046872	phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]; phosphorylation [GO:0016310]	cytoplasm
P08874	reviewed	ABRB_BACSU	Transition state regulatory protein AbrB	abrB cpsX BSU00370	Bacillus subtilis 168	NP_387918.1; NC_000964.3.;WP_003226760.1; NZ_JNCM01000028.1.;	96	BSU00370	NA	GO:0003677; GO:0030435; GO:0042802; GO:0043937; GO:0045892	negative regulation of DNA-templated transcription [GO:0045892]; regulation of sporulation [GO:0043937]; sporulation resulting in formation of a cellular spore [GO:0030435]	unknown
P0CI73	reviewed	GLMS_BACSU	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (GFAT) (Glucosamine-6-phosphate synthase) (Hexosephosphate aminotransferase) (L-glutamine--D-fructose-6-phosphate amidotransferase)	glmS gcaA ybxD BSU01780	Bacillus subtilis 168	NP_388059.1; NC_000964.3.;WP_003234943.1; NZ_JNCM01000030.1.;	600	BSU01780	NA	GO:0004360; GO:0005829; GO:0005975; GO:0006002; GO:0006047; GO:0006487; GO:0006541; GO:0097367	carbohydrate metabolic process [GO:0005975]; fructose 6-phosphate metabolic process [GO:0006002]; glutamine metabolic process [GO:0006541]; protein N-linked glycosylation [GO:0006487]; UDP-N-acetylglucosamine metabolic process [GO:0006047]	cytoplasm
P0CI75	reviewed	BIRA_BACSU	Bifunctional ligase/repressor BirA (Biotin--[acetyl-CoA-carboxylase] ligase) (EC 6.3.4.15) (Biotin--protein ligase) (Biotin-[acetyl-CoA carboxylase] synthetase)	birA BSU22440	Bacillus subtilis 168	NP_390125.1; NC_000964.3.;WP_003230650.1; NZ_JNCM01000036.1.;	325	BSU22440	NA	GO:0003677; GO:0004077; GO:0005524; GO:0005737; GO:0006355; GO:0016740; GO:0036211	protein modification process [GO:0036211]; regulation of DNA-templated transcription [GO:0006355]	unknown
P0CI78	reviewed	RL24_BACSU	Large ribosomal subunit protein uL24 (12 kDa DNA-binding protein) (50S ribosomal protein L24) (BL23) (HPB12)	rplX BSU01270	Bacillus subtilis 168	NP_388008.1; NC_000964.3.;WP_003156486.1; NZ_JNCM01000029.1.;	103	BSU01270	NA	GO:0003677; GO:0003735; GO:0006412; GO:0009295; GO:0019843; GO:0022625	translation [GO:0006412]	cytoplasm
P0CI79	reviewed	TYSY1_BACSU	Thymidylate synthase 1 (TS 1) (TSase 1) (EC 2.1.1.45) (Thymidylate synthase A) (TS A) (TSase A)	thyA1 BSU17680	Bacillus subtilis 168	NP_389651.1; NC_000964.3.;WP_003244896.1; NZ_JNCM01000035.1.;	279	BSU17680	PATHWAY: Pyrimidine metabolism; dTTP biosynthesis. {ECO:0000255|HAMAP-Rule:MF_00008}.	GO:0004799; GO:0005829; GO:0006231; GO:0006235; GO:0032259	dTMP biosynthetic process [GO:0006231]; dTTP biosynthetic process [GO:0006235]; methylation [GO:0032259]	cytoplasm
P10475	reviewed	GUN2_BACSU	Endoglucanase (EC 3.2.1.4) (Carboxymethyl-cellulase) (CMCase) (Cellulase) (Endo-1,4-beta-glucanase)	eglS bglC gld BSU18130	Bacillus subtilis 168	NP_389695.2; NC_000964.3.;WP_003231540.1; NZ_JNCM01000035.1.;	499	BSU18130	NA	GO:0005576; GO:0008422; GO:0008810; GO:0009251; GO:0009986; GO:0030245; GO:0030248	cellulose catabolic process [GO:0030245]; glucan catabolic process [GO:0009251]	unknown
P10726	reviewed	RPSD_BACSU	RNA polymerase sigma-D factor (Sigma-28)	sigD flaB BSU16470	Bacillus subtilis 168	NP_389529.1; NC_000964.3.;WP_003220911.1; NZ_JNCM01000035.1.;	254	BSU16470	NA	GO:0003677; GO:0003899; GO:0006352; GO:0006355; GO:0016987; GO:0071978	bacterial-type flagellum-dependent swarming motility [GO:0071978]; DNA-templated transcription initiation [GO:0006352]; regulation of DNA-templated transcription [GO:0006355]	unknown
P10727	reviewed	SP2AA_BACSU	Anti-sigma F factor antagonist (Stage II sporulation protein AA)	spoIIAA BSU23470	Bacillus subtilis 168	NP_390228.1; NC_000964.3.;WP_004398633.1; NZ_JNCM01000036.1.;	117	BSU23470	NA	GO:0030435; GO:0043856; GO:0045152	sporulation resulting in formation of a cellular spore [GO:0030435]	unknown
P11044	reviewed	TYSY2_BACSU	Thymidylate synthase 2 (TS 2) (TSase 2) (EC 2.1.1.45) (Thymidylate synthase A) (TS A) (TSase A)	thyA2 thyB BSU21820	Bacillus subtilis 168	NP_390065.1; NC_000964.3.;WP_004398587.1; NZ_JNCM01000036.1.;	264	BSU21820	PATHWAY: Pyrimidine metabolism; dTTP biosynthesis. {ECO:0000255|HAMAP-Rule:MF_00008}.	GO:0004799; GO:0005829; GO:0006231; GO:0006235; GO:0032259	dTMP biosynthetic process [GO:0006231]; dTTP biosynthetic process [GO:0006235]; methylation [GO:0032259]	cytoplasm
P11065	reviewed	HPR_BACSU	DNA-binding transcriptional repressor ScoC (HTH-type transcriptional regulator Hpr) (Protease production regulatory protein Hpr)	hpr catA scoC BSU09990	Bacillus subtilis 168	NP_388880.1; NC_000964.3.;WP_003239501.1; NZ_CP103783.1.;	203	BSU09990	NA	GO:0003677; GO:0003700; GO:0006355; GO:0006950; GO:0030435; GO:0045892	negative regulation of DNA-templated transcription [GO:0045892]; regulation of DNA-templated transcription [GO:0006355]; response to stress [GO:0006950]; sporulation resulting in formation of a cellular spore [GO:0030435]	unknown
P12049	reviewed	PURS_BACSU	Phosphoribosylformylglycinamidine synthase subunit PurS (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit III) (FGAR amidotransferase III) (FGAR-AT III) (Phosphoribosylformylglycinamidine synthase subunit III)	purS yexA BSU06460	Bacillus subtilis 168	NP_388528.1; NC_000964.3.;WP_003219409.1; NZ_JNCM01000032.1.;	84	BSU06460	PATHWAY: Purine metabolism; IMP biosynthesis via de novo pathway; 5-amino-1-(5-phospho-D-ribosyl)imidazole from N(2)-formyl-N(1)-(5-phospho-D-ribosyl)glycinamide: step 1/2. {ECO:0000255|HAMAP-Rule:MF_01926}.	GO:0004642; GO:0005524; GO:0005737; GO:0006189	'de novo' IMP biosynthetic process [GO:0006189]	cytoplasm
P12464	reviewed	RPOE_BACSU	DNA-directed RNA polymerase subunit delta (RNAP delta factor)	rpoE BSU37160	Bacillus subtilis 168	NP_391597.1; NC_000964.3.;WP_003243661.1; NZ_JNCM01000034.1.;	173	BSU37160	NA	GO:0000428; GO:0003899; GO:0006351; GO:0006355	DNA-templated transcription [GO:0006351]; regulation of DNA-templated transcription [GO:0006355]	unknown
P12667	reviewed	NUCA_BACSU	DNA-entry nuclease (EC 3.-.-.-) (Competence-specific nuclease)	nucA comI BSU03430	Bacillus subtilis 168	NP_388225.2; NC_000964.3.;	147	BSU03430	NA	GO:0004518; GO:0005886; GO:0030420	establishment of competence for transformation [GO:0030420]	inner membrane
P12878	reviewed	RS14B_BACSU	Small ribosomal subunit protein uS14B (30S ribosomal protein S14 type Z) (30S ribosomal protein S14-1) (BSA)	rpsN1 rpsN rpsNA rpsZ BSU01290	Bacillus subtilis 168	NP_388010.1; NC_000964.3.;WP_003156488.1; NZ_JNCM01000029.1.;	61	BSU01290	NA	GO:0003735; GO:0006412; GO:0008270; GO:0015935; GO:0019843	translation [GO:0006412]	unknown
P13243	reviewed	ALF_BACSU	Probable fructose-bisphosphate aldolase (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase)	fbaA fba fba1 orfY-tsr BSU37120	Bacillus subtilis 168	NP_391593.1; NC_000964.3.;WP_003243339.1; NZ_JNCM01000034.1.;	285	BSU37120	PATHWAY: Carbohydrate degradation; glycolysis; D-glyceraldehyde 3-phosphate and glycerone phosphate from D-glucose: step 4/4.	GO:0004332; GO:0005829; GO:0006096; GO:0008270; GO:0009025; GO:0030388; GO:0030435	fructose 1,6-bisphosphate metabolic process [GO:0030388]; glycolytic process [GO:0006096]; sporulation resulting in formation of a cellular spore [GO:0030435]	unknown
P13267	reviewed	DPO3_BACSU	DNA polymerase III PolC-type (PolIII) (EC 2.7.7.7)	polC dnaF mutI BSU16580	Bacillus subtilis 168	NP_389540.1; NC_000964.3.;WP_003245843.1; NZ_JNCM01000035.1.;	1437	BSU16580	NA	GO:0003677; GO:0003887; GO:0005737; GO:0006261; GO:0008408; GO:0046677	DNA-templated DNA replication [GO:0006261]; response to antibiotic [GO:0046677]	cytoplasm
P13484	reviewed	TAGE_BACSU	Poly(glycerol-phosphate) alpha-glucosyltransferase (EC 2.4.1.52) (Major teichoic acid biosynthesis protein E)	tagE gtaA rodD BSU35730	Bacillus subtilis 168	NP_391454.1; NC_000964.3.;WP_003243517.1; NZ_JNCM01000034.1.;	673	BSU35730	PATHWAY: Cell wall biogenesis; poly(glycerol phosphate) teichoic acid biosynthesis.	GO:0005737; GO:0016757; GO:0019350; GO:0047265; GO:0071555	cell wall organization [GO:0071555]; teichoic acid biosynthetic process [GO:0019350]	cytoplasm
P13714	reviewed	LDH_BACSU	L-lactate dehydrogenase (L-LDH) (EC 1.1.1.27)	ldh lctE BSU03050	Bacillus subtilis 168	NP_388187.2; NC_000964.3.;	320	BSU03050	PATHWAY: Fermentation; pyruvate fermentation to lactate; (S)-lactate from pyruvate: step 1/1. {ECO:0000255|HAMAP-Rule:MF_00488, ECO:0000305|PubMed:10809684}.	GO:0004459; GO:0005737; GO:0006089; GO:0006090; GO:0006096	glycolytic process [GO:0006096]; lactate metabolic process [GO:0006089]; pyruvate metabolic process [GO:0006090]	cytoplasm
P14192	reviewed	GLMU_BACSU	Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]	glmU gcaD tms tms-26 BSU00500	Bacillus subtilis 168	NP_387931.1; NC_000964.3.;	456	BSU00500	PATHWAY: Nucleotide-sugar biosynthesis; UDP-N-acetyl-alpha-D-glucosamine biosynthesis; N-acetyl-alpha-D-glucosamine 1-phosphate from alpha-D-glucosamine 6-phosphate (route II): step 2/2. {ECO:0000255|HAMAP-Rule:MF_01631}.; PATHWAY: Nucleotide-sugar biosynthesis; UDP-N-acetyl-alpha-D-glucosamine biosynthesis; UDP-N-acetyl-alpha-D-glucosamine from N-acetyl-alpha-D-glucosamine 1-phosphate: step 1/1. {ECO:0000255|HAMAP-Rule:MF_01631}.; PATHWAY: Bacterial outer membrane biogenesis; LPS lipid A biosynthesis. {ECO:0000255|HAMAP-Rule:MF_01631}.	GO:0000287; GO:0000902; GO:0003977; GO:0005737; GO:0006048; GO:0008360; GO:0009245; GO:0009252; GO:0019134; GO:0071555	cell morphogenesis [GO:0000902]; cell wall organization [GO:0071555]; lipid A biosynthetic process [GO:0009245]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]	cytoplasm
P14194	reviewed	CTC_BACSU	General stress protein Ctc (CTC) (50S ribosomal protein L25) (Large ribosomal subunit protein bL25)	ctc BSU00520	Bacillus subtilis 168	NP_387933.1; NC_000964.3.;WP_003243443.1; NZ_JNCM01000028.1.;	204	BSU00520	NA	GO:0003735; GO:0006412; GO:0008097; GO:0022625	translation [GO:0006412]	unknown
